attendance_id,employee_id,attendance_date,attendance_status
1,1176,2026-05-01,Absent
2,1176,2026-04-20,Leave
3,1029,2026-01-03,Absent
4,1044,2026-02-02,Present
5,1058,2025-07-04,Present
6,1073,2026-02-01,Present
7,1020,2026-03-31,WFH
8,1086,2025-06-04,Present
9,1093,2026-01-11,Present
10,1012,2025-07-09,WFH
11,1039,2026-02-07,Present
12,1110,2026-03-25,WFH
13,1086,2026-01-13,WFH
14,1047,2025-10-29,Leave
15,1109,2025-08-01,Present
16,1171,2025-06-06,Leave
17,1078,2025-09-22,WFH
18,1074,2025-08-11,Present
19,1027,2025-09-19,Present
20,1128,2026-02-28,Leave
21,1095,2026-04-06,Present
22,1183,2026-02-07,Present
23,1001,2026-05-07,Present
24,1200,2025-08-19,Leave
25,1038,2025-12-16,Present
26,1038,2026-01-26,Absent
27,1115,2026-03-18,Leave
28,1123,2025-08-27,Present
29,1029,2025-10-30,WFH
30,1110,2025-11-17,Leave
31,1072,2025-10-19,Present
32,1024,2026-04-08,Present
33,1033,2025-12-09,Present
34,1197,2025-10-09,Absent
35,1091,2026-03-15,Present
36,1127,2026-02-17,Absent
37,1124,2025-12-29,Leave
38,1106,2025-06-13,WFH
39,1163,2025-06-04,Present
40,1036,2025-08-18,Leave
41,1063,2025-05-14,Absent
42,1108,2025-09-21,WFH
43,1128,2026-04-19,WFH
44,1137,2026-03-11,Absent
45,1137,2025-07-05,WFH
46,1059,2025-06-09,Absent
47,1022,2025-12-06,WFH
48,1184,2025-09-23,Absent
49,1135,2025-07-07,WFH
50,1199,2026-05-07,Leave
51,1192,2025-05-10,Present
52,1180,2025-08-13,Present
53,1061,2025-11-24,Present
54,1001,2025-10-15,Present
55,1005,2026-03-31,Present
56,1143,2026-01-17,Absent
57,1035,2025-10-02,Present
58,1016,2026-02-04,Present
59,1093,2025-11-02,Present
60,1076,2025-12-24,Absent
61,1037,2025-11-15,WFH
62,1108,2025-10-06,Present
63,1054,2026-01-13,Present
64,1015,2025-05-31,Leave
65,1036,2025-12-19,Present
66,1179,2026-03-26,Leave
67,1037,2026-03-05,Absent
68,1188,2025-08-24,Present
69,1179,2026-02-09,Absent
70,1096,2025-08-24,Present
71,1180,2025-11-10,Present
72,1170,2025-10-31,WFH
73,1019,2026-02-28,Absent
74,1153,2025-12-20,Present
75,1008,2026-05-03,Present
76,1094,2026-04-02,Present
77,1021,2025-11-04,Present
78,1020,2026-03-16,Present
79,1146,2026-01-25,Absent
80,1039,2026-04-03,Present
81,1121,2025-11-12,Leave
82,1036,2025-06-18,Leave
83,1136,2026-02-08,Leave
84,1077,2025-06-04,Absent
85,1106,2025-12-30,Leave
86,1087,2026-03-19,Absent
87,1166,2025-05-18,Leave
88,1004,2026-03-21,Present
89,1029,2025-06-09,Present
90,1016,2026-04-06,Leave
91,1009,2026-03-11,WFH
92,1193,2025-06-29,Present
93,1129,2025-10-17,Present
94,1003,2025-06-13,Absent
95,1109,2025-09-06,Leave
96,1117,2025-08-05,WFH
97,1183,2025-11-30,Present
