timesheet_id,employee_id,project_id,work_date,hours_logged,overtime_hours
1,1137,217,2026-04-25,7.49,0.0
2,1178,214,2026-01-31,9.54,1.54
3,1093,223,2025-07-31,7.26,0.0
4,1138,220,2025-07-27,9.37,1.37
5,1022,204,2026-04-17,7.83,0.0
6,1169,222,2025-11-26,8.61,0.61
7,1166,220,2025-10-18,6.13,0.0
8,1166,222,2025-10-06,4.27,0.0
9,1193,211,2026-03-20,7.88,0.0
10,1111,204,2026-04-06,9.79,1.79
11,1067,208,2026-02-12,4.06,0.0
12,1133,218,2025-07-25,7.06,0.0
13,1148,208,2026-01-07,7.48,0.0
14,1101,215,2026-02-22,6.67,0.0
15,1151,223,2025-10-16,8.63,0.63
16,1089,201,2026-04-15,7.0,0.0
17,1076,214,2026-04-26,6.9,0.0
18,1022,204,2025-09-30,9.52,1.52
19,1187,205,2026-03-05,8.99,0.99
20,1088,215,2026-04-26,6.09,0.0
21,1134,216,2025-10-02,8.71,0.71
22,1025,215,2025-05-21,6.09,0.0
23,1116,211,2026-05-06,8.33,0.33
24,1012,226,2025-06-12,4.4,0.0
25,1006,228,2025-08-24,8.26,0.26
26,1028,222,2025-09-06,6.06,0.0
27,1190,208,2025-06-27,8.8,0.8
28,1142,206,2025-12-31,7.1,0.0
29,1110,215,2026-03-27,5.99,0.0
30,1104,221,2025-05-16,5.39,0.0
31,1164,222,2025-07-10,5.11,0.0
32,1008,224,2025-06-09,6.59,0.0
33,1051,215,2025-06-16,7.68,0.0
34,1100,201,2025-11-10,7.55,0.0
35,1053,209,2025-06-06,8.23,0.23
36,1017,219,2025-08-14,8.51,0.51
37,1138,206,2026-01-29,4.61,0.0
38,1051,215,2025-06-08,6.19,0.0
39,1172,228,2025-06-30,4.68,0.0
40,1164,211,2026-05-02,6.94,0.0
41,1157,213,2025-12-03,7.58,0.0
42,1090,212,2025-12-18,7.52,0.0
43,1159,206,2025-08-02,9.07,1.07
44,1181,226,2025-07-01,8.88,0.88
45,1158,219,2025-12-10,5.78,0.0
46,1035,211,2026-04-24,4.51,0.0
47,1079,204,2025-11-19,4.71,0.0
48,1178,205,2026-03-03,5.1,0.0
49,1108,220,2026-02-23,7.06,0.0
50,1099,214,2026-02-15,4.83,0.0
51,1163,218,2025-10-09,5.11,0.0
52,1166,230,2025-10-08,8.16,0.16
53,1143,206,2025-12-27,10.0,2.0
54,1036,206,2026-04-10,6.94,0.0
55,1116,220,2026-05-04,5.89,0.0
56,1092,201,2025-10-12,4.32,0.0
57,1050,227,2025-09-07,6.91,0.0
58,1144,217,2025-08-20,6.3,0.0
59,1105,222,2025-10-29,7.92,0.0
60,1182,227,2025-09-17,6.95,0.0
61,1043,203,2026-03-06,6.66,0.0
62,1195,208,2025-10-07,7.39,0.0
63,1071,208,2026-05-01,5.75,0.0
64,1044,225,2025-10-15,7.23,0.0
65,1191,225,2025-12-01,6.74,0.0
66,1141,217,2025-12-06,8.6,0.6
67,1030,209,2025-11-08,4.68,0.0
68,1094,218,2025-11-19,8.65,0.65
69,1011,225,2025-08-29,8.94,0.94
70,1140,207,2026-02-13,8.31,0.31
71,1027,224,2025-10-16,9.94,1.94
72,1193,208,2025-10-03,8.98,0.98
73,1009,215,2025-05-25,5.79,0.0
74,1023,215,2025-11-18,5.58,0.0
75,1031,225,2025-12-25,9.19,1.19
76,1054,226,2025-10-22,8.87,0.87
77,1177,212,2026-01-01,8.43,0.43
78,1157,221,2026-05-04,9.17,1.17
79,1158,205,2025-07-12,6.57,0.0
80,1053,226,2026-03-11,8.71,0.71
81,1090,218,2025-07-15,4.36,0.0
82,1138,206,2026-02-16,5.69,0.0
83,1181,210,2025-08-31,5.94,0.0
84,1069,228,2026-03-27,5.74,0.0
85,1174,227,2025-09-19,7.09,0.0
86,1193,226,2025-05-28,4.57,0.0
87,1016,209,2025-12-29,6.47,0.0
88,1033,223,2025-06-29,9.2,1.2
89,1064,205,2025-05-15,9.2,1.2
90,1064,225,2026-02-20,8.27,0.27
91,1101,216,2025-09-30,9.06,1.06
92,1162,209,2025-07-15,4.85,0.0
93,1097,215,2026-01-05,7.77,0.0
94,1197,203,2025-07-30,4.45,0.0
95,1192,209,2025-09-02,6.42,0.0
96,1095,215,2025-08-17,8.17,0.17
97,1084,219,2025-08-13,9.7,1.7
98,1199,228,2025-11-26,4.01,0.0
99,1188,215,2026-02-10,8.4,0.4
100,1179,212,2025-10-22,7.81,0.0
101,1137,213,2025-05-12,9.1,1.1
102,1110,227,2025-08-27,5.31,0.0
103,1069,211,2026-01-05,5.27,0.0
104,1087,218,2026-01-21,8.97,0.97
105,1145,228,2025-09-09,7.47,0.0
106,1088,229,2025-09-28,6.91,0.0
107,1013,202,2026-01-13,8.1,0.1
108,1118,201,2025-09-18,4.6,0.0
109,1041,215,2025-11-29,4.75,0.0
110,1110,207,2026-03-08,6.74,0.0
111,1034,229,2025-05-11,9.97,1.97
112,1041,228,2026-05-05,7.9,0.0
113,1071,203,2025-10-25,9.6,1.6
114,1065,203,2025-08-06,7.93,0.0
115,1167,206,2025-11-22,6.23,0.0
116,1161,210,2026-05-01,4.31,0.0
117,1194,208,2025-07-17,8.36,0.36
118,1024,223,2025-08-16,6.58,0.0
119,1055,216,2026-03-04,4.57,0.0
120,1152,208,2025-05-23,4.47,0.0
121,1114,201,2025-05-15,7.12,0.0
122,1088,227,2025-09-10,4.05,0.0
123,1109,223,2026-02-01,4.72,0.0
